Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,16:04.6,41.375,30.625,130.5,0,-0.037,1.033,0.091,0.03,0.091,27.94,-7.79,10.6,-98.52
2021/10/13,16:05.6,43.5,29,131.875,-0.001,-0.034,1.034,0.091,-0.061,0.03,27.94,-7.96,10.43,-98.88
2021/10/13,16:06.6,41.875,31.375,134,-0.002,-0.032,1.033,0.061,-0.061,0.061,27.93,-7.87,10.34,-99.2
2021/10/13,16:07.6,43.25,27.25,135,-0.003,-0.032,1.034,0.03,-0.03,0.03,27.93,-7.89,9.98,-99.49
2021/10/13,16:08.6,37.75,33.5,125.875,-0.002,-0.032,1.034,0.061,0.061,0.061,27.93,-7.62,10.48,-99.88
2021/10/13,16:09.6,42.875,30.25,131.125,-0.003,-0.031,1.033,0,0.03,0.061,27.93,-7.74,10.53,-100.29
2021/10/13,16:10.6,44.625,29.375,133.25,-0.003,-0.031,1.035,0.03,0,0.03,27.93,-7.87,10.48,-100.7
2021/10/13,16:11.6,41.625,30.875,135.125,-0.003,-0.029,1.034,0.03,0,0.03,27.94,-7.69,10.29,-100.98
2021/10/13,16:12.6,40.875,30.75,128.625,-0.003,-0.03,1.034,0.03,0.03,0.03,27.93,-7.64,10.44,-101.37
2021/10/13,16:13.6,40,31.75,128.875,-0.004,-0.03,1.033,0.03,0.03,0.091,27.97,-7.52,10.56,-101.73
2021/10/13,16:14.5,42.375,30.375,129.75,-0.003,-0.029,1.033,0.03,0.03,0.061,27.95,-7.59,10.64,-102.15
2021/10/13,16:15.5,42.75,31.75,131.5,-0.003,-0.029,1.033,0.03,-0.03,0.061,27.93,-7.6,10.75,-102.56
2021/10/13,16:16.5,42.25,29.25,132.875,-0.004,-0.029,1.033,0.03,0,0.091,27.96,-7.55,10.45,-102.88
2021/10/13,16:17.6,43.125,32.25,129.75,-0.003,-0.03,1.034,0,0.03,0.03,27.97,-7.59,10.81,-103.37
2021/10/13,16:18.5,42.625,30.125,131.375,-0.004,-0.029,1.034,0,-0.03,0.061,27.94,-7.56,10.66,-103.73
2021/10/13,16:19.5,40.25,31.75,132.75,-0.003,-0.029,1.035,0,0.03,0.061,27.98,-7.35,10.51,-104.04
2021/10/13,16:20.5,41.5,31.125,131.25,-0.004,-0.03,1.034,0.061,0,0.03,28.02,-7.31,10.56,-104.43
2021/10/13,16:21.5,40.625,30.375,128.125,-0.003,-0.029,1.035,0,0,0.061,28.02,-7.28,10.61,-104.82
2021/10/13,16:22.5,41.5,30.5,128.625,-0.004,-0.028,1.034,0.061,0,0,28.01,-7.27,10.7,-105.25
2021/10/13,16:23.5,39.625,34.75,130.625,-0.004,-0.028,1.034,0.061,0.091,0,28.02,-7.06,10.97,-105.65
2021/10/13,16:24.5,41.5,30.625,132.875,-0.004,-0.027,1.035,0.03,0.061,0.091,28.01,-7.04,10.76,-105.99
2021/10/13,16:25.5,42,33.25,131.375,-0.005,-0.027,1.034,0.03,0,0.061,28.06,-7.03,11.01,-106.45
2021/10/13,16:26.5,39.125,34.625,130.125,-0.004,-0.028,1.034,0.03,-0.03,0.061,28.01,-6.86,11.13,-106.84
